date,pagePath,source,medium,adContent,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration
2/15/2019,/everyone-online-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Online,Maine,Ogunquit,1,0,0,0,0,1,1,0
2/15/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Uttar Pradesh,Greater Noida,1,0,19,0,0,1,0,0
2/16/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Graduate,New Hampshire,Bradford,1,0,15,0,0,1,0,0
2/16/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,(not set),(not set),1,0,29,0,0,2,0,0
2/16/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,South Sulawesi,Makassar,1,0,24,0,0,1,0,0
2/17/2019,/everyone-degree-completion/thank-you,LinkedIn,InMail,fa19_ig_li_text_wa_dc_s_1,FY2019_DegreeCompletion,Maine,Ellsworth,1,0,0,0,0,1,1,0
2/17/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,Graduate Degree Programs,FY2019_Graduate,Western Province,Colombo,1,0,18,0,0,1,0,0
2/17/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Pennsylvania,Devault,1,0,14,0,0,2,0,0
2/18/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,Graduate Degree Programs,FY2019_Graduate,England,London,1,0,12,0,0,1,0,0
2/18/2019,/everyone-high-school-students/thank-you,Doubleclick Bid Manager,Display,fa19_br_dbm_disp_all_uni_s_7,FY2019_Umbrella,Maine,Troy,1,0,822,0,0,1,0,0
2/18/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Connecticut,East Haddam,1,0,199,0,0,2,0,0
2/18/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Uttar Pradesh,Lucknow,1,0,41,0,0,2,0,0
2/19/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,Master's Degree Programs,FY2019_Graduate,Maine,Portland,1,0,11,0,0,1,0,0
2/19/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Graduate,Maine,Scarborough,1,0,0,0,0,1,1,0
2/19/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Kiambu County,Juja,1,0,41,0,0,2,0,0
2/19/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Alfred,1,0,283,0,0,1,0,0
2/19/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Massachusetts,Boston,1,0,13,0,0,1,0,0
2/20/2019,/everyone-degree-completion/thank-you,(direct),(none),(not set),(not set),New York,New York,1,1,0,1,1,1,1,0
2/21/2019,/everyone-degree-completion/thank-you,LinkedIn,InMail,fa19_ig_li_text_wa_dc_s_1,FY2019_DegreeCompletion,North Carolina,Greenville,1,0,49,0,0,1,0,0
2/21/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Graduate,Rhode Island,Tiverton,1,0,15,0,0,1,0,0
2/21/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Addis Ababa,Addis Ababa,1,0,0,0,0,1,1,0
2/21/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Lewiston,1,0,17,0,0,1,0,0
2/21/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,North Dakota,Carrington,1,0,1,0,0,1,0,0
2/21/2019,/everyone-online-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Online,Utah,Taylorsville,1,0,0,0,0,1,1,0
2/21/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Bogota,Bogota,1,0,6,0,0,1,0,0
2/22/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Lewiston,1,0,16,0,0,1,0,0
2/22/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Saco,1,0,10,0,0,1,0,0
2/22/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Massachusetts,Boston,1,0,10,0,0,1,0,0
2/22/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Maine,South Portland,1,0,371,0,0,1,0,0
2/22/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Maseru,Maseru,1,0,17,0,0,1,0,0
2/22/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Souss-Massa,Agadir,1,0,48,0,0,1,0,0
2/23/2019,/everyone-degree-completion/thank-you,LinkedIn,InMail,fa19_ig_li_text_wa_dc_s_1,FY2019_DegreeCompletion,New Hampshire,Manchester,1,0,0,0,0,1,1,0
2/23/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Graduate,New York,New York,1,0,0,0,0,1,1,0
2/23/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Illinois,Chicago,1,0,21,0,0,1,0,0
2/23/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Bangor,1,0,20,0,0,1,0,0
2/23/2019,/everyone-online-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Online,Maine,Portland,2,0,5,0,0,2,1,0
2/23/2019,/everyone-online-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Online,Maine,Saco,1,0,11,0,0,1,0,0
2/23/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,(not set),(not set),1,0,30,0,0,1,0,0
2/24/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Bangor,1,0,22,0,0,1,0,0
2/24/2019,/everyone-transfer-students/thank-you,google,cpc,Earn Your Maine College Degree,FY2019_Transfer,Maine,Kennebunkport,1,0,11,0,0,1,0,0
2/24/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,New Hampshire,Portsmouth,1,0,10,0,0,1,0,0
2/24/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Tirana County,(not set),1,0,11,0,0,1,0,0
2/25/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Graduate,Maryland,Ellicott City,1,0,62,0,0,1,0,0
2/25/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Kigali City,Kigali,1,0,0,0,0,1,1,0
2/25/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Brunswick,1,0,18,0,0,1,0,0
2/25/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,New York,Fairport,2,1,0,1,0,2,2,0
2/25/2019,/everyone-online-degree-seekers/thank-you,google,cpc,(not set),(not set),Maine,Standish,1,0,12,0,0,1,0,0
2/26/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Addis Ababa,Addis Ababa,1,0,0,0,0,1,1,0
2/26/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,New York,Fairport,2,2,0,2,0,2,2,0
2/26/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Okinawa Prefecture,Okinawa,1,0,24,0,0,1,0,0
2/27/2019,/everyone-graduate-degree-seekers/thank-you,LinkedIn,InMail,fa19_ig_li_text_wa_gr_s_1,FY2019_Graduate,Maine,Waterville,1,0,0,0,0,1,1,0
2/28/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Maine,Wiscasset,1,0,26,0,0,2,0,0
2/28/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer Your Credits,FY2019_Transfer,Maine,South Portland,1,0,446,0,0,1,0,0
3/1/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Graduate,Maine,Portland,1,0,7,0,0,1,0,0
3/1/2019,/everyone-high-school-students/thank-you,google,cpc,Bachelor Degree Programs,FY2019_Undergrad,Lagos,Lagos,1,0,0,0,0,1,1,0
3/1/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Phnom Penh,Phnom Penh,1,0,26,0,0,1,0,0
3/2/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,Univ. of Southern Maine,FY2019_Graduate,Maine,Richmond,1,0,0,0,0,1,1,0
