Ad Content,Source / Medium,Date,Unique Pageviews,Sessions,Exits,Entrances,Bounces,Time on Page,Session Duration
FA20_BR_FB_CAR_TL_UG_I_1,Facebook / Carousel,20190409,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_1,Facebook / Carousel,20190413,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_1,Facebook / Carousel,20190414,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_1,Facebook / Carousel,20190425,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_1,Facebook / Carousel,20190427,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_2,Facebook / Carousel,20190314,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_2,Facebook / Carousel,20190318,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_2,Facebook / Carousel,20190326,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_2,Facebook / Carousel,20190327,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_2,Facebook / Carousel,20190331,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_2,Facebook / Carousel,20190401,1,1,1,1,1,0:00:00,0:00:00
