date,pagePath,source,medium,adContent,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration
10/08/2018,/everyone-transfer-students/thank-you,google,cpc,Earn Your Maine College Degree,FY2019_Transfer,New York,New York,1,0,26,0,0,1,0,0
10/09/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,New York,New York,1,0,9,0,0,1,0,0
10/10/2018,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Maine,Orono,1,0,6,0,0,1,0,0
10/11/2018,/everyone-online-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Online,Maine,Augusta,1,0,0,0,0,1,1,0
10/12/2018,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,New Jersey,Sparta,1,0,11,0,0,1,0,0
10/13/2018,/everyone-transfer-students/thank-you,google,cpc,Earn Your Maine College Degree,FY2019_Transfer,Maine,Lewiston,1,0,7,0,0,1,0,0
10/14/2018,/everyone-high-school-students/thank-you,Facebook,LinkAd,FA19_IG_FB_DISP_TL_UG_S_4,FA19UG,Connecticut,West Haven,1,0,16,0,0,1,0,0
10/15/2018,/everyone-graduate-degree-seekers/thank-you,google,cpc,Master's Degree Programs,FY2019_Graduate,Maine,Old Orchard Beach,1,0,0,0,0,1,1,0
10/15/2018,/everyone-high-school-students/thank-you,Snapchat,TopSnap,fa19_ig_sc_vid_tl_ug_d_1,FY2019_Undergrad,Connecticut,Bridgeport,1,0,0,0,0,1,1,0
10/15/2018,/everyone-high-school-students/thank-you,Snapchat,TopSnap,fa19_ig_sc_vid_tl_ug_d_1,FY2019_Undergrad,New York,New York,1,0,0,0,0,1,1,0
10/18/2018,/everyone-degree-completion/thank-you,google,cpc,fa19_br_gm_text_wa_dc_s_2.jpg,FY2019_DegreeCompletion,Maine,Gray,1,0,15,0,0,1,0,0
10/18/2018,/everyone-online-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Online,Maine,Bangor,1,0,37,0,0,1,0,0
10/19/2018,/everyone-graduate-degree-seekers/thank-you,LinkedIn,InMail,fa19_ig_li_text_wa_gr_s_1,FY2019_Graduate,Indiana,Indianapolis,1,0,0,0,0,1,1,0
10/19/2018,/everyone-online-degree-seekers/thank-you,google,cpc,Bachelor's Degree Program,FY2019_Online,New York,New York,1,0,9,0,0,1,0,0
10/20/2018,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,New Hampshire,Bow,1,0,43,0,0,1,0,0
10/21/2018,/everyone-graduate-degree-seekers/thank-you,google,cpc,Graduate Degree Programs,FY2019_Graduate,Massachusetts,Norton,1,0,25,0,0,1,0,0
10/22/2018,/everyone-high-school-students/thank-you,Snapchat,TopSnap,fa19_ig_sc_vid_tl_ug_d_1,FY2019_Undergrad,Michigan,Detroit,1,0,0,0,0,1,1,0
10/22/2018,/everyone-transfer-students/thank-you,google,cpc,Earn Your Maine College Degree,FY2019_Transfer,(not set),Monrovia,1,0,38,0,0,1,0,0
10/23/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Bangor,1,0,18,0,0,1,0,0
10/24/2018,/everyone-graduate-degree-seekers/thank-you,google,cpc,Master's Degree Programs,FY2019_Graduate,New Hampshire,Dover,1,0,80,0,0,1,0,0
10/24/2018,/everyone-high-school-students/thank-you,Pinterest,TrafficPin,fa19_br_pin_disp_in_ug_s_1,FY2019_Influencers,Maine,Lewiston,1,0,36,0,0,1,0,0
10/25/2018,/everyone-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Graduate,Maine,Portland,1,0,3,0,0,1,0,0
10/25/2018,/everyone-online-degree-seekers/thank-you,google,cpc,Bachelor's Degree Program,FY2019_Online,Massachusetts,Boston,1,0,62,0,0,2,0,0
10/27/2018,/everyone-degree-completion/thank-you,Pinterest,TrafficPin,fa19_br_pin_disp_wa_dc_s_4,FY2019_DegreeComp,Maine,Windham,1,0,0,0,0,1,1,0
10/27/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Istanbul,Istanbul,1,0,50,0,0,1,0,0
