date,pagePath,source,medium,adContent,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration,Code_Audience
09/23/2017,/welcome-online-degree-seekers/thank-you,google,cpc,WA_Option2,FY2018_Gmail,Maine,Lisbon,1,0,15,0,0,1,0,0,OL - Thank You
09/24/2017,/welcome-high-school-students/thank-you,Facebook,PageLink,Undergrad_ME_HS,FY2018_Undergrad,Maine,Rockland,1,0,0,0,0,1,1,0,HS - Thank You
09/24/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Telangana,Hyderabad,1,0,0,0,0,1,1,0,HS - Thank You
09/24/2017,/welcome-online-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2018_Online,Georgia,Ashburn,1,0,11,0,0,1,0,0,OL - Thank You
09/27/2017,/welcome-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2018_Graduate,Massachusetts,Boston,1,0,1229,0,0,2,0,0,GR - Thank You
09/27/2017,/welcome-high-school-students/thank-you,google,cpc,{KeyWord:Earn Your Bachelor's Degree},FY2018_Undergrad,Maine,Portland,1,0,0,0,0,1,1,0,HS - Thank You
09/27/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Maine,Portland,1,0,11,0,0,1,0,0,CU - Thank You
09/28/2017,/welcome-high-school-students/thank-you,google,cpc,WA_Option2,FY2018_Gmail,Maine,Poland,1,0,46,0,0,1,0,0,HS - Thank You
09/28/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Madhya Pradesh,Bhopal,1,0,23,0,0,1,0,0,CU - Thank You
09/29/2017,/honors/thank-you-dara-jeanne-kaufman-fund,google,organic,(not set),(not set),Maine,York,1,0,30,0,0,1,0,0,NA
09/30/2017,/welcome-high-school-students/thank-you,Facebook,PageLink,Undergrad_ME_HS,FY2018_Undergrad,Maine,Wiscasset,1,0,0,0,0,1,1,0,HS - Thank You
10/01/2017,/welcome-online-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2018_Online,Maine,Windsor,1,0,15,0,0,1,0,0,OL - Thank You
10/01/2017,/welcome-transfer-students/thank-you,google,cpc,Earn Your Maine College Degree,FY2018_Transfer,Maine,Freeport,1,0,0,0,0,1,1,0,CU - Thank You
10/02/2017,/welcome-transfer-students/thank-you,DBM,Display,Lauren_V1,FY2018_Umbrella,Massachusetts,Framingham,1,0,8,0,0,1,0,0,CU - Thank You
10/03/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Maine,Fairfield,1,0,0,0,0,1,1,0,CU - Thank You
10/03/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,New York,Plattsburgh,1,0,18,0,0,2,0,0,CU - Thank You
10/04/2017,/welcome-online-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2018_Online,Massachusetts,Boston,1,0,22,0,0,1,0,0,OL - Thank You
10/04/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Maine,Lewiston,1,0,36,0,0,1,0,0,CU - Thank You
10/05/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Maine,Kennebunk,1,0,309,0,0,2,0,0,CU - Thank You
10/07/2017,/start/thank-you,(direct),(none),(not set),(not set),Maine,Augusta,1,0,509,0,0,2,0,0,NA
10/07/2017,/welcome-graduate-degree-seekers/thank-you,google,cpc,WA_Option3,FY2018_Gmail,Maine,Scarborough,1,0,14,0,0,1,0,0,GR - Thank You
10/07/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Massachusetts,Weymouth,2,1,0,1,0,2,2,0,HS - Thank You
10/08/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Khyber Pakhtunkhwa,Peshawar,1,0,24,0,0,1,0,0,HS - Thank You
10/09/2017,/welcome-high-school-students/thank-you,google,cpc,{KeyWord:Earn Your Bachelor's Degree},FY2018_Undergrad,Massachusetts,Boston,1,0,0,0,0,1,1,0,HS - Thank You
10/09/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,New York,New York,1,0,50,0,0,1,0,0,HS - Thank You
10/09/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Florida,Orlando,1,0,21,0,0,1,0,0,CU - Thank You
10/10/2017,/welcome-high-school-students/thank-you,Spotify,Display,640x640,FY2018_Umbrella,Maine,Belfast,1,0,0,0,0,1,1,0,HS - Thank You
10/10/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Ho Chi Minh City,Ho Chi Minh City,1,0,102,0,0,2,0,0,CU - Thank You
10/10/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Karnataka,Bengaluru,1,0,17,0,0,1,0,0,CU - Thank You
10/10/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Maine,Portland,1,0,0,0,0,1,1,0,CU - Thank You
10/10/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,New Hampshire,Hudson,1,0,12,0,0,1,0,0,CU - Thank You
10/11/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Massachusetts,Cheshire,1,0,0,0,0,1,1,0,HS - Thank You
10/11/2017,/welcome-high-school-students/thank-you,Spotify,Display,640x640,FY2018_Umbrella,Maine,Belfast,1,1,0,1,0,1,1,0,HS - Thank You
10/12/2017,/welcome-high-school-students/thank-you,google,cpc,{KeyWord:Earn Your Bachelor's Degree},FY2018_Undergrad,St. James Parish,Montego Bay,1,0,18,0,0,1,0,0,HS - Thank You
10/12/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Maine,Orono,1,0,0,0,0,1,1,0,HS - Thank You
10/12/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Rhode Island,North Kingstown,1,0,283,0,0,1,0,0,CU - Thank You
10/13/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Massachusetts,Danvers,1,0,0,0,0,1,1,0,CU - Thank You
10/14/2017,/welcome-high-school-students/thank-you,Facebook,PageLink,Undergrad_ME_HS,FY2018_Undergrad,Maine,Biddeford,1,0,0,0,0,1,1,0,HS - Thank You
