Date,landingPagePath,source,medium,Ad,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration
2/23/2019,/visit?pp=0&epik=dj0yJnU9MURqQUdRdmlCQVktbmZEbUNlOGNPbVEtcHlzTEJWbUMmbj1TVFlvek1ZUmZrYzk3U2JFb2FkNjhBJnQ9QUFBQUFGeHg2dE0,PINTEREST,TRAFFICPIN,FA20_ER_PIN_DISP_HS_UG_S_4,FY2019_Undergrad,Maine,Standish,1,1,0,1,0,1,1,0
2/23/2019,/visit?pp=0&epik=dj0yJnU9S2JZZjY1V1FGVEI2RmNPWFJMM2EwamNIX0VRbm41ek4mbj1XY01CdWhHcnp6LXhtaU9tT0VESnpBJnQ9QUFBQUFGeHg2VUk,PINTEREST,TRAFFICPIN,FA20_ER_PIN_DISP_HS_UG_S_1,FY2019_Undergrad,Maine,Lewiston,1,1,0,1,1,1,1,0
2/23/2019,/visit?pp=0&epik=dj0yJnU9TUR0V0hscVRQTWtXZUMySUNUMldNZ1YwdlVFN0lkXy0mbj1OQTZuTFVxUGxXWDhfUEpCdGxZMER3JnQ9QUFBQUFGeHg4QlE,PINTEREST,TRAFFICPIN,FA20_ER_PIN_DISP_HS_UG_S_5,FY2019_Undergrad,Maine,Falmouth,1,1,0,1,1,1,1,0
2/23/2019,/visit?pp=0&epik=dj0yJnU9WDgycFpaTjNRbGMyU1Y3cjJfemJKemZEMzIwUm00S0ombj1kUm90RmNyYTBqRXlidTA4ekY2ZGx3JnQ9QUFBQUFGeHg3Q2c,PINTEREST,TRAFFICPIN,FA20_ER_PIN_DISP_HS_UG_S_1,FY2019_Undergrad,Maine,Lewiston,1,1,0,1,1,1,1,0
2/23/2019,/visit?pp=0&epik=dj0yJnU9ZUlTUzdSbHRpM09kZ0tHOVY2YzZBcGRGNmpiWmw4bksmbj1VYk1XcFpIX2hYOWMzWmxkQVJuSlhRJnQ9QUFBQUFGeHhfVDA,PINTEREST,TRAFFICPIN,FA20_ER_PIN_DISP_HS_UG_S_1,FY2019_Undergrad,Maine,Portland,1,1,0,1,1,1,1,0
2/24/2019,/visit,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_2,FY2020_Undergrad,Maine,Falmouth,1,0,86,1,1,4,1,86
2/24/2019,/visit,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_3,FY2020_Undergrad,Maine,Augusta,1,1,0,1,1,1,1,0
2/24/2019,/visit,FB/IG,LINKAD,FA20_ER_FB_VID_HS_UG_D_1,FY2020_Undergrad,Maine,Portland,1,1,0,1,1,1,1,0
2/24/2019,/visit,FB/IG,LINKAD,FA20_ER_FB_VID_HS_UG_D_2,FY2020_Undergrad,Maine,Machias,1,1,0,1,1,1,1,0
2/24/2019,/visit,FB/IG,LINKAD,FA20_ER_FB_VID_HS_UG_D_2,FY2020_Undergrad,Massachusetts,Boston,1,1,0,1,1,1,1,0
